County,Year,Population
Dutchess,2004,292859
Erie,2004,938333
Essex,2004,39295
Franklin,2004,51197
Fulton,2004,55233
Genesee,2004,60224
Greene,2004,48755
Hamilton,2004,5158
Herkimer,2004,64332
Jefferson,2004,109924
Kings,2004,2459094
Lewis,2004,26661
Livingston,2004,65484
Madison,2004,71397
Monroe,2004,741075
Montgomery,2004,49460
Nassau,2004,1337964
New York,2004,1569947
Niagara,2004,217737
Oneida,2004,234654
Onondaga,2004,461412
Ontario,2004,103385
Orange,2004,362934
Orleans,2004,43682
Oswego,2004,123340
Otsego,2004,62934
Putnam,2004,99468
Queens,2004,2198516
Rensselaer,2004,155523
Richmond,2004,456846
Rockland,2004,297562
St. Lawrence,2004,111468
Saratoga,2004,211478
Schenectady,2004,148900
Schoharie,2004,32310
Schuyler,2004,19034
Seneca,2004,35312
Steuben,2004,98983
Suffolk,2004,1478215
Sullivan,2004,76265
Tioga,2004,51631
Tompkins,2004,99531
Ulster,2004,181847
Warren,2004,64576
Washington,2004,62278
Wayne,2004,93860
Westchester,2004,935457
Wyoming,2004,42852
Yates,2004,25008
Albany,2003,301085
Allegany,2003,50165
Bronx,2003,1362373
Broome,2003,201037
Cattaraugus,2003,83335
Cayuga,2003,81395
Chautauqua,2003,137587
Chemung,2003,90154
Chenango,2003,51393
Clinton,2003,81396
Columbia,2003,63304
Cortland,2003,49475
Delaware,2003,47930
Dutchess,2003,290781
Erie,2003,941846
Essex,2003,39334
Franklin,2003,51228
Fulton,2003,55081
Genesee,2003,60412
Greene,2003,48416
Hamilton,2003,5181
Herkimer,2003,64080
Jefferson,2003,110246
Kings,2003,2472999
Lewis,2003,26692
Livingston,2003,65130
Madison,2003,71010
Monroe,2003,741671
Montgomery,2003,49449
Nassau,2003,1339761
New York,2003,1562154
Niagara,2003,218072
Oneida,2003,234243
Onondaga,2003,460961
Ontario,2003,102625
Orange,2003,358727
Orleans,2003,43593
Oswego,2003,123120
Otsego,2003,62567
Putnam,2003,98964
Queens,2003,2214608
Rensselaer,2003,154201
Richmond,2003,455939
Rockland,2003,296224
St. Lawrence,2003,111329
Saratoga,2003,209410
Schenectady,2003,147891
Schoharie,2003,32032
Schuyler,2003,19151
Seneca,2003,35212
Steuben,2003,99191
Suffolk,2003,1470849
Sullivan,2003,75447
Tioga,2003,51895
Tompkins,2003,99049
Ulster,2003,180942
Warren,2003,64323
Washington,2003,61621
Wayne,2003,94001
Westchester,2003,935799
Wyoming,2003,42955
Yates,2003,24898
Albany,2002,298283
Allegany,2002,50014
Bronx,2002,1358739
Broome,2002,201438
Cattaraugus,2002,83301
Cayuga,2002,81401
Chautauqua,2002,138346
Chemung,2002,90613
Chenango,2002,51205
Clinton,2002,80707
Columbia,2002,63182
Cortland,2002,48891
Delaware,2002,47666
Dutchess,2002,287700
Erie,2002,943551
Essex,2002,39195
